#Procedure: <nfoinstruments.Measurements.LCRprocedures.ISProcedureConstTemp>
#Parameters:
#Data:
Time,Bias,Frequency,Temperature,R,X
1719402166.313298,0.3,1782090.66,nan,2541.78,-5358.75
1719402168.8952403,0.3,1823685.04,nan,2491.17,-5281.88
1719402171.4909148,0.3,1866250.24,nan,2442.49,-5208.21
1719402174.064261,0.3,1909808.91,nan,2392.43,-5133.6
1719402176.6460774,0.3,1954384.26,nan,2345.31,-5061.03
1719402179.2402804,0.3,2000000.0,nan,2296.72,-4987.34
1719402183.9573517,0.4,20.0,nan,9923530.0,-3049500.0
1719402188.754774,0.4,20.47,nan,9873550.0,-3071370.0
1719402193.4038637,0.4,20.94,nan,9950860.0,-3112060.0
1719402198.0034904,0.4,21.43,nan,9851420.0,-3094000.0
1719402202.508111,0.4,21.93,nan,9796300.0,-3115250.0
1719402206.9130838,0.4,22.45,nan,9760670.0,-3083250.0
1719402211.915334,0.4,22.97,nan,9718630.0,-3113370.0
1719402216.8522615,0.4,23.51,nan,9687060.0,-3087810.0
1719402221.0061593,0.4,24.05,nan,9621810.0,-3100690.0
1719402225.0665169,0.4,24.62,nan,9591520.0,-3138310.0
1719402231.423303,0.4,25.19,nan,9517990.0,-3127420.0
1719402238.3071613,0.4,25.78,nan,9491640.0,-3128940.0
1719402244.4318185,0.4,26.38,nan,9464360.0,-3147930.0
1719402250.3871706,0.4,27.0,nan,9413400.0,-3143630.0
1719402256.211709,0.4,27.63,nan,9351200.0,-3150160.0
1719402261.9576988,0.4,28.27,nan,9320360.0,-3168250.0
1719402267.5866096,0.4,28.93,nan,9259540.0,-3173290.0
1719402273.0571105,0.4,29.61,nan,9246660.0,-3200040.0
1719402278.499428,0.4,30.3,nan,9174210.0,-3181870.0
1719402283.794553,0.4,31.0,nan,9140410.0,-3209950.0
1719402288.9672134,0.4,31.73,nan,9111410.0,-3258630.0
1719402294.080618,0.4,32.47,nan,9019090.0,-3185320.0
1719402299.0830922,0.4,33.23,nan,9014820.0,-3204060.0
1719402303.6638522,0.4,34.0,nan,8945070.0,-3295160.0
1719402309.019538,0.4,34.79,nan,8788570.0,-3210070.0
1719402313.6778977,0.4,35.61,nan,8842580.0,-3242270.0
1719402318.77732,0.4,36.44,nan,8815540.0,-3286860.0
1719402323.2928772,0.4,37.29,nan,8754470.0,-3282160.0
1719402328.234155,0.4,38.16,nan,8706960.0,-3276430.0
1719402332.5626762,0.4,39.05,nan,8664750.0,-3278480.0
1719402336.806006,0.4,39.96,nan,8604300.0,-3304520.0
1719402340.9169624,0.4,40.89,nan,8572570.0,-3302370.0
1719402345.4827702,0.4,41.85,nan,8528740.0,-3318090.0
1719402349.47131,0.4,42.82,nan,8445710.0,-3342610.0
1719402353.3901708,0.4,43.82,nan,8427920.0,-3356150.0
1719402357.1764247,0.4,44.85,nan,8400920.0,-3364550.0
1719402361.3620915,0.4,45.89,nan,8326300.0,-3366180.0
1719402365.0486217,0.4,46.96,nan,8276640.0,-3367910.0
1719402368.6545298,0.4,48.06,nan,8209810.0,-3394540.0
1719402372.1906803,0.4,49.18,nan,8191210.0,-3335660.0
1719402376.8742812,0.4,50.33,nan,8153600.0,-3476230.0
1719402381.4649904,0.4,51.51,nan,8109060.0,-3413110.0
1719402385.962992,0.4,52.71,nan,7992910.0,-3382460.0
1719402390.3721974,0.4,53.94,nan,7986880.0,-3401350.0
1719402394.6409483,0.4,55.2,nan,7897650.0,-3436210.0
1719402398.8725688,0.4,56.48,nan,7872520.0,-3435570.0
1719402402.9759545,0.4,57.8,nan,7805960.0,-3454080.0
1719402407.0363731,0.4,59.15,nan,7752820.0,-3450720.0
1719402411.3751688,0.4,60.53,nan,7685910.0,-3487640.0
1719402415.2560759,0.4,61.95,nan,7642510.0,-3486290.0
1719402419.4057314,0.4,63.39,nan,7580370.0,-3476140.0
1719402423.4713595,0.4,64.87,nan,7531390.0,-3505750.0
1719402427.097806,0.4,66.39,nan,7490960.0,-3501050.0
1719402430.6750476,0.4,67.93,nan,7425450.0,-3514480.0
1719402434.1838267,0.4,69.52,nan,7376060.0,-3524120.0
1719402437.595578,0.4,71.14,nan,7338660.0,-3550970.0
1719402440.970099,0.4,72.8,nan,7257480.0,-3547860.0
1719402444.2613137,0.4,74.5,nan,7218560.0,-3548300.0
1719402448.3021145,0.4,76.24,nan,7166030.0,-3561340.0
1719402452.2759895,0.4,78.02,nan,7114200.0,-3550380.0
1719402456.1629977,0.4,79.84,nan,7034010.0,-3568760.0
1719402459.9528308,0.4,81.71,nan,6964120.0,-3597520.0
1719402463.6613595,0.4,83.61,nan,6928530.0,-3586490.0
1719402467.3120968,0.4,85.56,nan,6859260.0,-3597150.0
1719402470.9004772,0.4,87.56,nan,6800750.0,-3603870.0
1719402474.2340357,0.4,89.61,nan,6746680.0,-3608850.0
1719402477.6974866,0.4,91.7,nan,6677240.0,-3605300.0
1719402481.3524096,0.4,93.84,nan,6653190.0,-3640500.0
1719402484.6470225,0.4,96.03,nan,6387510.0,-3389370.0
1719402487.8382537,0.4,98.27,nan,6484040.0,-3617200.0
1719402491.6135383,0.4,100.56,nan,6438680.0,-3626780.0
1719402495.3171875,0.4,102.91,nan,6398140.0,-3630900.0
1719402498.9457564,0.4,105.31,nan,6343810.0,-3642790.0
1719402502.5038528,0.4,107.77,nan,6267950.0,-3655680.0
1719402506.0045838,0.4,110.28,nan,6223110.0,-3655590.0
1719402509.3870497,0.4,112.86,nan,6151160.0,-3670650.0
1719402512.74159,0.4,115.49,nan,6146840.0,-3747390.0
1719402516.029882,0.4,118.19,nan,6030810.0,-3665020.0
1719402519.2522733,0.4,120.95,nan,5970990.0,-3672870.0
1719402522.3840487,0.4,123.77,nan,5906700.0,-3671060.0
1719402525.8306844,0.4,126.66,nan,5848970.0,-3679610.0
1719402529.4118347,0.4,129.61,nan,5783010.0,-3675660.0
1719402532.6907098,0.4,132.64,nan,5725050.0,-3680340.0
1719402535.909214,0.4,135.74,nan,5667080.0,-3684430.0
1719402539.0358288,0.4,138.9,nan,5601410.0,-3688360.0
1719402542.086865,0.4,142.15,nan,5537170.0,-3683730.0
1719402545.0934606,0.4,145.46,nan,5473110.0,-3695610.0
1719402548.0512588,0.4,148.86,nan,5406480.0,-3680400.0
1719402551.3581865,0.4,152.33,nan,5354810.0,-3679950.0
1719402554.583884,0.4,155.89,nan,5282730.0,-3681020.0
1719402557.749989,0.4,159.53,nan,5214100.0,-3686080.0
1719402560.8631308,0.4,163.25,nan,5155050.0,-3680780.0
1719402563.8843143,0.4,167.06,nan,5093200.0,-3676490.0
1719402566.858141,0.4,170.96,nan,5026750.0,-3671650.0
1719402569.7758474,0.4,174.95,nan,4959610.0,-3665760.0
1719402572.9584825,0.4,179.03,nan,4897310.0,-3668480.0
1719402576.1063516,0.4,183.21,nan,4832390.0,-3659770.0
1719402579.1517603,0.4,187.49,nan,4768920.0,-3651550.0
1719402582.1554022,0.4,191.86,nan,4715140.0,-3650500.0
1719402585.083218,0.4,196.34,nan,4641940.0,-3632480.0
